stat_type,stat_number,athleteID,teamID
ERA,0.00,13,3
WHIP,1.50,13,3
W,0,13,3
L,0,13,3
APP,5,13,3
GS,0,13,3
CG,0,13,3
SHO-CG,0,13,3
SHO-APP,2,13,3
SV,2,13,3
IP,6.0,13,3
H,5,13,3
R,2,13,3
ER,0,13,3
BB,4,13,3
SO,7,13,3
2B,0,13,3
3B,0,13,3
HR,0,13,3
AB,23,13,3
B/AVG,.217,13,3
WP,0,13,3
HBP,0,13,3
BK,0,13,3
SFA,0,13,3
SHA,0,13,3
ERA,0.00,15,3
WHIP,2.00,15,3
W,0,15,3
L,0,15,3
APP,1,15,3
GS,0,15,3
CG,0,15,3
SHO-CG,0,15,3
SHO-APP,0,15,3
SV,0,15,3
IP,1.0,15,3
H,2,15,3
R,0,15,3
ER,0,15,3
BB,0,15,3
SO,0,15,3
2B,0,15,3
3B,0,15,3
HR,0,15,3
AB,5,15,3
B/AVG,.400,15,3
WP,0,15,3
HBP,0,15,3
BK,0,15,3
SFA,0,15,3
SHA,0,15,3
ERA,2.28,14,3
WHIP,.84,14,3
W,4,14,3
L,1,14,3
APP,6,14,3
GS,6,14,3
CG,0,14,3
SHO-CG,0,14,3
SHO-APP,1,14,3
SV,0,14,3
IP,43.1,14,3
H,32,14,3
R,13,14,3
ER,11,14,3
BB,4,14,3
SO,42,14,3
2B,3,14,3
3B,1,14,3
HR,1,14,3
AB,158,14,3
B/AVG,.203,14,3
WP,2,14,3
HBP,3,14,3
BK,1,14,3
SFA,1,14,3
SHA,0,14,3
ERA,2.57,17,3
WHIP,1.43,17,3
W,1,17,3
L,1,17,3
APP,3,17,3
GS,3,17,3
CG,0,17,3
SHO-CG,0,17,3
SHO-APP,1,17,3
SV,0,17,3
IP,14.0,17,3
H,13,17,3
R,7,17,3
ER,4,17,3
BB,7,17,3
SO,7,17,3
2B,3,17,3
3B,0,17,3
HR,0,17,3
AB,55,17,3
B/AVG,.236,17,3
WP,0,17,3
HBP,2,17,3
BK,0,17,3
SFA,0,17,3
SHA,2,17,3
ERA,2.57,8,3
WHIP,1.29,8,3
W,1,8,3
L,0,8,3
APP,4,8,3
GS,2,8,3
CG,0,8,3
SHO-CG,0,8,3
SHO-APP,0,8,3
SV,0,8,3
IP,7.0,8,3
H,5,8,3
R,3,8,3
ER,2,8,3
BB,4,8,3
SO,9,8,3
2B,1,8,3
3B,0,8,3
HR,0,8,3
AB,25,8,3
B/AVG,.200,8,3
WP,0,8,3
HBP,2,8,3
