stat_type,stat_number,athleteID,teamID
GP,32,18,1
GS,32,18,1
MIN,1089,18,1
MIN/G,34.0,18,1
FGM,177,18,1
FGA,395,18,1
FG%,.448,18,1
3PT,34,18,1
3PTA,125,18,1
3PT%,.272,18,1
FT,140,18,1
FTA,194,18,1
FT%,.722,18,1
PTS,528,18,1
AVG,16.5,18,1
OFF REB,45,18,1
DEF REB,127,18,1
REB,172,18,1
REB/G,5.4,18,1
PF,60,18,1
AST,75,18,1
TO,68,18,1
STL,25,18,1
BLK,26,18,1
GP,33,26,1
GS,33,26,1
MIN,973,26,1
MIN/G,29.5,26,1
FGM,202,26,1
FGA,361,26,1
FG%,.560,26,1
3PT,25,26,1
3PTA,84,26,1
3PT%,.298,26,1
FT,79,26,1
FTA,124,26,1
FT%,.637,26,1
PTS,508,26,1
AVG,15.4,26,1
OFF REB,84,26,1
DEF REB,190,26,1
REB,274,26,1
REB/G,8.3,26,1
PF,94,26,1
AST,63,26,1
TO,63,26,1
STL,39,26,1
BLK,50,26,1
GP,26,25,1
GS,7,25,1
MIN,638,25,1
MIN/G,24.5,25,1
FGM,77,25,1
FGA,193,25,1
FG%,.399,25,1
3PT,42,25,1
3PTA,101,25,1
3PT%,.416,25,1
FT,37,25,1
FTA,48,25,1
FT%,.771,25,1
PTS,233,25,1
AVG,9.0,25,1
OFF REB,6,25,1
DEF REB,72,25,1
REB,78,25,1
REB/G,3.0,25,1
PF,35,25,1
AST,78,25,1
TO,57,25,1
STL,32,25,1
BLK,12,25,1
GP,33,21,1
GS,30,21,1
MIN,825,21,1
MIN/G,25.0,21,1
FGM,118,21,1
FGA,236,21,1
FG%,.500,21,1
3PT,7,21,1
3PTA,31,21,1
3PT%,.226,21,1
FT,36,21,1
FTA,70,21,1
FT%,.514,21,1
PTS,279,21,1
AVG,8.5,21,1
OFF REB,58,21,1
DEF REB,93,21,1
REB,151,21,1
REB/G,4.6,21,1
PF,80,21,1
AST,28,21,1
TO,61,21,1
STL,21,21,1
BLK,15,21,1
GP,32,19,1
GS,28,19,1
MIN,904,19,1
MIN/G,28.3,19,1
FGM,87,19,1
FGA,207,19,1
FG%,.420,19,1
3PT,36,19,1
3PTA,101,19,1
3PT%,.356,19,1
FT,53,19,1
FTA,71,19,1
FT%,.746,19,1
PTS,263,19,1
AVG,8.2,19,1
OFF REB,5,19,1
DEF REB,56,19,1
REB,61,19,1
REB/G,1.9,19,1
PF,65,19,1
AST,51,19,1
TO,42,19,1
STL,15,19,1
BLK,9,19,1
GP,30,24,1
GS,27,24,1
MIN,805,24,1
MIN/G,26.8,24,1
FGM,75,24,1
FGA,202,24,1
FG%,.371,24,1
3PT,27,24,1
3PTA,85,24,1
3PT%,.318,24,1
FT,29,24,1
FTA,45,24,1
FT%,.644,24,1
PTS,206,24,1
AVG,6.9,24,1
OFF REB,9,24,1
DEF REB,81,24,1
REB,90,24,1
REB/G,3.0,24,1
PF,61,24,1
AST,85,24,1
TO,37,24,1
STL,32,24,1
BLK,4,24,1
GP,28,28,1
GS,3,28,1
MIN,372,28,1
MIN/G,13.3,28,1
FGM,55,28,1
FGA,90,28,1
FG%,.611,28,1
3PT,0,28,1
3PTA,0,28,1
3PT%,.000,28,1
FT,37,28,1
FTA,61,28,1
FT%,.607,28,1
PTS,147,28,1
AVG,5.3,28,1
OFF REB,24,28,1
DEF REB,47,28,1
REB,71,28,1
REB/G,2.5,28,1
PF,59,28,1
AST,25,28,1
TO,29,28,1
STL,13,28,1
BLK,16,28,1
GP,30,34,1
GS,0,34,1
MIN,342,34,1
MIN/G,11.4,34,1
FGM,39,34,1
FGA,95,34,1
FG%,.411,34,1
3PT,16,34,1
3PTA,52,34,1
