stat_type,stat_number,FBathleteID,teamID
GP,12,17,2
NO,42,17,2
YDS,590,17,2
AVG,14.05,17,2
TD,4,17,2
Long,41,17,2
AVG/G,49.17,17,2
GP,12,5,2
NO,42,5,2
YDS,508,5,2
AVG,12.10,5,2
TD,6,5,2
Long,43,5,2
AVG/G,42.33,5,2
GP,9,33,2
NO,46,33,2
YDS,422,33,2
AVG,9.17,33,2
TD,0,33,2
Long,30,33,2
AVG/G,46.89,33,2
GP,12,3,2
NO,29,3,2
YDS,381,3,2
AVG,13.14,3,2
TD,3,3,2
Long,37,3,2
AVG/G,31.75,3,2
GP,12,4,2
NO,37,4,2
YDS,325,4,2
AVG,8.78,4,2
TD,2,4,2
Long,30,4,2
AVG/G,27.08,4,2
GP,7,28,2
NO,23,28,2
YDS,235,28,2
AVG,10.22,28,2
TD,1,28,2
Long,65,28,2
AVG/G,33.57,28,2
GP,12,2,2
NO,28,2,2
YDS,174,2,2
AVG,6.21,2,2
TD,0,2,2
Long,22,2,2
AVG/G,14.50,2,2
GP,11,101,2
NO,15,101,2
YDS,163,101,2
AVG,10.87,101,2
TD,2,101,2
Long,32,101,2
AVG/G,14.82,101,2
GP,12,31,2
NO,21,31,2
YDS,97,31,2
AVG,4.62,31,2
TD,1,31,2
Long,17,31,2
AVG/G,8.08,31,2
GP,12,27,2
NO,16,27,2
YDS,86,27,2
AVG,5.38,27,2
TD,1,27,2
Long,19,27,2
AVG/G,7.17,27,2
GP,12,105,2
NO,5,105,2
YDS,53,105,2
AVG,10.60,105,2
TD,0,105,2
Long,22,105,2
AVG/G,4.42,105,2
GP,12,41,2
NO,7,41,2
YDS,34,41,2
AVG,4.86,41,2
TD,0,41,2
Long,8,41,2
AVG/G,2.83,41,2
GP,11,98,2
NO,4,98,2
YDS,16,98,2
AVG,4.00,98,2
TD,0,98,2
Long,8,98,2
AVG/G,1.45,98,2
GP,1,25,2
NO,1,25,2
YDS,10,25,2
AVG,10.00,25,2
TD,0,25,2
Long,10,25,2
AVG/G,10.00,25,2
GP,12,25,2
NO,316,25,2
YDS,3094,25,2
AVG,9.79,25,2
TD,20,25,2
Long,65,25,2
AVG/G,257.83,25,2
GP,12,25,2
NO,225,25,2
YDS,2887,25,2
AVG,12.83,25,2
TD,27,25,2
Long,71,25,2
AVG/G,240.58,25,2
