stat_type,stat_number,FBathleteID,teamID
GP,12,11,2
Solo,47,11,2
ASST,19,11,2
TOT,66,11,2
INT,1,11,2
BU,3,11,2
QBH,0,11,2
FR,2,11,2
FF,1,11,2
KICK,0,11,2
SAF,0,11,2
GP,12,56,2
Solo,37,56,2
ASST,25,56,2
TOT,62,56,2
INT,0,56,2
BU,1,56,2
QBH,1,56,2
FR,0,56,2
FF,0,56,2
KICK,0,56,2
SAF,0,56,2
GP,12,55,2
Solo,40,55,2
ASST,19,55,2
TOT,59,55,2
INT,1,55,2
BU,3,55,2
QBH,1,55,2
FR,0,55,2
FF,1,55,2
KICK,0,55,2
SAF,0,55,2
GP,12,20,2
Solo,31,20,2
ASST,8,20,2
TOT,39,20,2
INT,0,20,2
BU,3,20,2
QBH,0,20,2
FR,1,20,2
FF,1,20,2
KICK,0,20,2
SAF,0,20,2
GP,10,58,2
Solo,30,58,2
ASST,9,58,2
TOT,39,58,2
INT,0,58,2
BU,0,58,2
QBH,0,58,2
FR,0,58,2
FF,0,58,2
KICK,0,58,2
SAF,0,58,2
GP,11,37,2
Solo,25,37,2
ASST,13,37,2
TOT,38,37,2
INT,1,37,2
BU,0,37,2
QBH,0,37,2
FR,0,37,2
FF,1,37,2
KICK,0,37,2
SAF,0,37,2
GP,10,8,2
Solo,24,8,2
ASST,12,8,2
TOT,36,8,2
INT,0,8,2
BU,2,8,2
QBH,1,8,2
FR,1,8,2
FF,0,8,2
KICK,0,8,2
SAF,0,8,2
GP,12,118,2
Solo,21,118,2
ASST,11,118,2
TOT,32,118,2
INT,0,118,2
BU,0,118,2
QBH,1,118,2
FR,1,118,2
FF,1,118,2
KICK,0,118,2
SAF,0,118,2
GP,12,40,2
Solo,24,40,2
ASST,7,40,2
TOT,31,40,2
INT,3,40,2
BU,0,40,2
QBH,0,40,2
FR,1,40,2
FF,2,40,2
KICK,0,40,2
SAF,0,40,2
GP,12,16,2
Solo,24,16,2
ASST,5,16,2
TOT,29,16,2
INT,0,16,2
BU,6,16,2
QBH,0,16,2
FR,0,16,2
FF,0,16,2
KICK,0,16,2
SAF,0,16,2
GP,12,57,2
Solo,20,57,2
ASST,8,57,2
TOT,28,57,2
INT,1,57,2
BU,0,57,2
QBH,2,57,2
FR,0,57,2
FF,0,57,2
KICK,0,57,2
SAF,0,57,2
GP,12,66,2
Solo,15,66,2
ASST,13,66,2
TOT,28,66,2
INT,1,66,2
BU,0,66,2
QBH,2,66,2
FR,1,66,2
FF,0,66,2
KICK,0,66,2
SAF,0,66,2
GP,12,45,2
Solo,15,45,2
ASST,11,45,2
TOT,26,45,2
INT,0,45,2
BU,1,45,2
QBH,3,45,2
FR,2,45,2
FF,0,45,2
KICK,0,45,2
SAF,0,45,2
GP,12,1,2
Solo,13,1,2
ASST,12,1,2
TOT,25,1,2
INT,0,1,2
BU,1,1,2
QBH,0,1,2
FR,1,1,2
FF,0,1,2
KICK,0,1,2
