stat_type,stat_number,athleteID,teamID
GP,12,27,2
ATT,228,27,2
Gain,1155,27,2
Loss,18,27,2
Net,1137,27,2
AVG,5.0,27,2
TD,10,27,2
Long,45,27,2
AVG/G,94.75,27,2
GP,12,14,2
ATT,111,14,2
Gain,538,14,2
Loss,184,14,2
Net,354,14,2
AVG,3.2,14,2
TD,5,14,2
Long,35,14,2
AVG/G,29.50,14,2
GP,9,29,2
ATT,32,29,2
Gain,150,29,2
Loss,9,29,2
Net,141,29,2
AVG,4.4,29,2
TD,2,29,2
Long,30,29,2
AVG/G,15.67,29,2
GP,12,2,2
ATT,15,2,2
Gain,96,2,2
Loss,13,2,2
Net,83,2,2
AVG,5.5,2,2
TD,0,2,2
Long,32,2,2
AVG/G,6.92,2,2
GP,7,28,2
ATT,5,28,2
Gain,78,28,2
Loss,10,28,2
Net,68,28,2
AVG,13.6,28,2
TD,0,28,2
Long,29,28,2
AVG/G,9.71,28,2
GP,3,12,2
ATT,7,12,2
Gain,45,12,2
Loss,0,12,2
Net,45,12,2
AVG,6.4,12,2
TD,0,12,2
Long,13,12,2
AVG/G,15.00,12,2
GP,12,31,2
ATT,10,31,2
Gain,30,31,2
Loss,5,31,2
Net,25,31,2
AVG,2.5,31,2
TD,0,31,2
Long,14,31,2
AVG/G,2.08,31,2
GP,1,7,2
ATT,2,7,2
Gain,18,7,2
Loss,1,7,2
Net,17,7,2
AVG,8.5,7,2
TD,0,7,2
Long,18,7,2
AVG/G,17.00,7,2
GP,1,25,2
ATT,5,25,2
Gain,17,25,2
Loss,0,25,2
Net,17,25,2
AVG,3.4,25,2
TD,0,25,2
Long,6,25,2
AVG/G,17.00,25,2
GP,3,34,2
ATT,2,34,2
Gain,5,34,2
Loss,0,34,2
Net,5,34,2
AVG,2.5,34,2
TD,0,34,2
Long,3,34,2
AVG/G,1.67,34,2
GP,9,33,2
ATT,1,33,2
Gain,4,33,2
Loss,0,33,2
Net,4,33,2
AVG,4.0,33,2
TD,0,33,2
Long,4,33,2
AVG/G,0.44,33,2
GP,12,55,2
ATT,1,55,2
Gain,3,55,2
Loss,0,55,2
Net,3,55,2
AVG,3.0,55,2
TD,0,55,2
Long,3,55,2
AVG/G,0.25,55,2
GP,12,4,2
ATT,2,4,2
Gain,3,4,2
Loss,2,4,2
Net,1,4,2
AVG,0.5,4,2
TD,0,4,2
Long,3,4,2
AVG/G,0.08,4,2
GP,5,4,2
ATT,7,4,2
Gain,0,4,2
Loss,12,4,2
Net,12,4,2
AVG,1.7,4,2
TD,0,4,2
Long,0,4,2
AVG/G,2.40,4,2
