stat_type,stat_number,athleteID,teamID
GP,23,15,4
GS,23,15,4
G,11,15,4
A,9,15,4
PTS,31,15,4
SH,52,15,4
SH%,0.212,15,4
SOG,23,15,4
SOG%,0.442,15,4
YC,3,15,4
RC,0,15,4
GW,7,15,4
PG,0,15,4
PA,0,15,4
GP,24,8,4
GS,18,8,4
G,1,8,4
A,16,8,4
PTS,18,8,4
SH,24,8,4
SH%,0.042,8,4
SOG,9,8,4
SOG%,0.375,8,4
YC,0,8,4
RC,0,8,4
GW,1,8,4
PG,0,8,4
PA,0,8,4
GP,24,21,4
GS,3,21,4
G,5,21,4
A,8,21,4
PTS,18,21,4
SH,28,21,4
SH%,0.179,21,4
SOG,9,21,4
SOG%,0.321,21,4
YC,0,21,4
RC,0,21,4
GW,2,21,4
PG,0,21,4
PA,0,21,4
GP,21,14,4
GS,19,14,4
G,5,14,4
A,5,14,4
PTS,15,14,4
SH,54,14,4
SH%,0.093,14,4
SOG,21,14,4
SOG%,0.389,14,4
YC,1,14,4
RC,0,14,4
GW,1,14,4
PG,0,14,4
PA,0,14,4
GP,24,12,4
GS,15,12,4
G,5,12,4
A,4,12,4
PTS,14,12,4
SH,28,12,4
SH%,0.179,12,4
SOG,7,12,4
SOG%,0.250,12,4
YC,0,12,4
RC,0,12,4
GW,3,12,4
PG,0,12,4
PA,0,12,4
GP,20,10,4
GS,20,10,4
G,6,10,4
A,0,10,4
PTS,12,10,4
SH,30,10,4
SH%,0.200,10,4
SOG,15,10,4
SOG%,0.500,10,4
YC,1,10,4
RC,0,10,4
GW,3,10,4
PG,0,10,4
PA,0,10,4
GP,24,19,4
GS,22,19,4
G,4,19,4
A,3,19,4
PTS,11,19,4
SH,12,19,4
SH%,0.333,19,4
SOG,6,19,4
SOG%,0.500,19,4
YC,0,19,4
RC,0,19,4
GW,1,19,4
PG,0,19,4
PA,0,19,4
GP,24,5,4
GS,6,5,4
G,4,5,4
A,0,5,4
PTS,8,5,4
SH,29,5,4
SH%,0.138,5,4
SOG,14,5,4
SOG%,0.483,5,4
YC,0,5,4
RC,0,5,4
GW,1,5,4
PG,0,5,4
PA,0,5,4
GP,24,6,4
GS,24,6,4
G,3,6,4
A,2,6,4
PTS,8,6,4
SH,28,6,4
SH%,0.107,6,4
SOG,11,6,4
SOG%,0.393,6,4
YC,1,6,4
RC,0,6,4
GW,0,6,4
PG,0,6,4
PA,0,6,4
GP,24,11,4
GS,20,11,4
G,2,11,4
A,3,11,4
PTS,7,11,4
SH,18,11,4
SH%,0.111,11,4
SOG,6,11,4
SOG%,0.333,11,4
YC,3,11,4
RC,0,11,4
GW,1,11,4
PG,0,11,4
PA,0,11,4
GP,23,13,4
GS,21,13,4
G,0,13,4
A,4,13,4
PTS,4,13,4
SH,17,13,4
SH%,0.000,13,4
SOG,6,13,4
SOG%,0.353,13,4
YC,5,13,4
RC,0,13,4
GW,0,13,4
PG,0,13,4
PA,0,13,4
GP,24,17,4
GS,23,17,4
G,1,17,4
A,1,17,4
PTS,3,17,4
SH,18,17,4
SH%,0.056,17,4
SOG,6,17,4
SOG%,0.333,17,4
YC,0,17,4
RC,0,17,4
GW,0,17,4
PG,0,17,4
PA,0,17,4
GP,14,3,4
GS,2,3,4
G,0,3,4
A,2,3,4
PTS,2,3,4
SH,2,3,4
SH%,0.000,3,4
SOG,2,3,4
SOG%,1.000,3,4
YC,0,3,4
RC,0,3,4
GW,0,3,4
PG,0,3,4
PA,0,3,4
GP,15,16,4
GS,0,16,4
G,0,16,4
A,1,16,4
PTS,1,16,4
SH,6,16,4
SH%,0.000,16,4
SOG,1,16,4
SOG%,0.167,16,4
YC,0,16,4
RC,0,16,4
GW,0,16,4
PG,0,16,4
PA,0,16,4
GP,11,22,4
GS,0,22,4
G,0,22,4
A,1,22,4
PTS,1,22,4
SH,4,22,4
SH%,0.000,22,4
SOG,3,22,4
SOG%,0.750,22,4
YC,0,22,4
RC,0,22,4
GW,0,22,4
PG,0,22,4
PA,0,22,4
GP,3,1,4
GS,0,1,4
G,0,1,4
A,0,1,4
PTS,0,1,4
SH,0,1,4
SH%,0.000,1,4
SOG,0,1,4
SOG%,0.000,1,4
YC,0,1,4
RC,0,1,4
GW,0,1,4
PG,0,1,4
PA,0,1,4
GP,24,2,4
GS,24,2,4
G,0,2,4
A,0,2,4
PTS,0,2,4
SH,0,2,4
SH%,0.000,2,4
SOG,0,2,4
SOG%,0.000,2,4
YC,0,2,4
RC,0,2,4
GW,0,2,4
PG,0,2,4
PA,0,2,4
GP,4,4,4
GS,0,4,4
G,0,4,4
A,0,4,4
PTS,0,4,4
SH,0,4,4
SH%,0.000,4,4
SOG,0,4,4
SOG%,0.000,4,4
YC,0,4,4
RC,0,4,4
GW,0,4,4
PG,0,4,4
PA,0,4,4
GP,24,7,4
GS,24,7,4
G,0,7,4
A,0,7,4
PTS,0,7,4
SH,10,7,4
SH%,0.000,7,4
SOG,5,7,4
SOG%,0.500,7,4
YC,0,7,4
RC,0,7,4
GW,0,7,4
PG,0,7,4
PA,0,7,4
GP,10,9,4
GS,0,9,4
G,0,9,4
A,0,9,4
PTS,0,9,4
SH,1,9,4
SH%,0.000,9,4
SOG,1,9,4
SOG%,1.000,9,4
YC,0,9,4
RC,0,9,4
GW,0,9,4
PG,0,9,4
PA,0,9,4
GP,1,26,4
GS,0,26,4
G,0,26,4
A,0,26,4
PTS,0,26,4
SH,0,26,4
SH%,0.000,26,4
SOG,0,26,4
SOG%,0.000,26,4
YC,0,26,4
RC,0,26,4
GW,0,26,4
PG,0,26,4
PA,0,26,4
GP,3,27,4
GS,0,27,4
G,0,27,4
A,0,27,4
PTS,0,27,4
SH,0,27,4
SH%,0.000,27,4
SOG,0,27,4
SOG%,0.000,27,4
YC,0,27,4
RC,0,27,4
GW,0,27,4
PG,0,27,4
PA,0,27,4
