fname,lname,statType,statNum
Romeo,Langford,GP,25
Romeo,Langford,GS,25
Romeo,Langford,MIN,826
Romeo,Langford,MIN/G,33.0
Romeo,Langford,FGM,146
Romeo,Langford,FGA,314
Romeo,Langford,FG%,.465
Romeo,Langford,3PT,26
Romeo,Langford,3PTA,98
Romeo,Langford,3PT%,.265
Romeo,Langford,FT,112
Romeo,Langford,FTA,156
Romeo,Langford,FT%,.718
Romeo,Langford,PTS,430
Romeo,Langford,AVG,17.2
Romeo,Langford,OFF REB,33
Romeo,Langford,DEF REB,94
Romeo,Langford,REB,127
Romeo,Langford,REB/G,5.1
Romeo,Langford,PF,49
Romeo,Langford,AST,59
Romeo,Langford,TO,53
Romeo,Langford,STL,20
Romeo,Langford,BLK,20
Juwan,Morgan,GP,25
Juwan,Morgan,GS,25
Juwan,Morgan,MIN,733
Juwan,Morgan,MIN/G,29.3
Juwan,Morgan,FGM,154
Juwan,Morgan,FGA,268
Juwan,Morgan,FG%,.575
Juwan,Morgan,3PT,21
Juwan,Morgan,3PTA,62
Juwan,Morgan,3PT%,.339
Juwan,Morgan,FT,54
Juwan,Morgan,FTA,87
Juwan,Morgan,FT%,.621
Juwan,Morgan,PTS,383
Juwan,Morgan,AVG,15.3
Juwan,Morgan,OFF REB,61
Juwan,Morgan,DEF REB,140
Juwan,Morgan,REB,201
Juwan,Morgan,REB/G,8.0
Juwan,Morgan,PF,66
Juwan,Morgan,AST,54
Juwan,Morgan,TO,48
Juwan,Morgan,STL,29
Juwan,Morgan,BLK,38
Justin,Smith,GP,25
Justin,Smith,GS,24
Justin,Smith,MIN,648
Justin,Smith,MIN/G,25.9
Justin,Smith,FGM,88
Justin,Smith,FGA,172
Justin,Smith,FG%,.512
Justin,Smith,3PT,4
Justin,Smith,3PTA,19
Justin,Smith,3PT%,.211
Justin,Smith,FT,29
Justin,Smith,FTA,54
Justin,Smith,FT%,.537
Justin,Smith,PTS,209
Justin,Smith,AVG,8.4
Justin,Smith,OFF REB,37
Justin,Smith,DEF REB,73
Justin,Smith,REB,110
Justin,Smith,REB/G,4.4
Justin,Smith,PF,67
Justin,Smith,AST,19
Justin,Smith,TO,51
Justin,Smith,STL,17
Justin,Smith,BLK,13
Aljami,Durham,GP,24
Aljami,Durham,GS,20
Aljami,Durham,MIN,657
Aljami,Durham,MIN/G,27.4
Aljami,Durham,FGM,66
Aljami,Durham,FGA,147
Aljami,Durham,FG%,.449
Aljami,Durham,3PT,28
Aljami,Durham,3PTA,69
Aljami,Durham,3PT%,.406
Aljami,Durham,FT,41
Aljami,Durham,FTA,55
Aljami,Durham,FT%,.745
Aljami,Durham,PTS,201
Aljami,Durham,AVG,8.4
Aljami,Durham,OFF REB,4
Aljami,Durham,DEF REB,42
Aljami,Durham,REB,46
Aljami,Durham,REB/G,1.9
Aljami,Durham,PF,45
Aljami,Durham,AST,38
Aljami,Durham,TO,35
