stat_type,stat_number,BSathleteID,teamID
AVG,.329,6,3
OPS,1.034,6,3
AB,70,6,3
R,20,6,3
H,23,6,3
2B,5,6,3
3B,0,6,3
HR,5,6,3
RBI,15,6,3
TB,43,6,3
SLG%,.614,6,3
BB,11,6,3
HBP,0,6,3
SO,17,6,3
GDP,3,6,3
OB%,.420,6,3
SF,0,6,3
SH,0,6,3
S,9,6,3
SB,10,6,3
AVG,.306,22,3
OPS,.971,22,3
AB,62,22,3
R,15,22,3
H,19,22,3
2B,4,22,3
3B,0,22,3
HR,5,22,3
RBI,17,22,3
TB,38,22,3
SLG%,.613,22,3
BB,4,22,3
HBP,1,22,3
SO,14,22,3
GDP,3,22,3
OB%,.358,22,3
SF,0,22,3
SH,0,22,3
S,0,22,3
SB,0,22,3
AVG,.300,13,3
OPS,.895,13,3
AB,70,13,3
R,15,13,3
H,21,13,3
2B,3,13,3
3B,0,13,3
HR,4,13,3
RBI,14,13,3
TB,36,13,3
SLG%,.514,13,3
BB,10,13,3
HBP,1,13,3
SO,20,13,3
GDP,0,13,3
OB%,.381,13,3
SF,3,13,3
SH,0,13,3
S,1,13,3
SB,2,13,3
AVG,.300,7,3
OPS,.869,7,3
AB,70,7,3
R,16,7,3
H,21,7,3
2B,6,7,3
3B,0,7,3
HR,2,7,3
RBI,10,7,3
TB,33,7,3
SLG%,.471,7,3
BB,8,7,3
HBP,4,7,3
SO,16,7,3
GDP,0,7,3
OB%,.398,7,3
SF,1,7,3
SH,0,7,3
S,6,7,3
SB,6,7,3
AVG,.271,2,3
OPS,1.052,2,3
AB,70,2,3
R,16,2,3
H,19,2,3
2B,5,2,3
3B,1,2,3
HR,7,2,3
RBI,16,2,3
TB,47,2,3
SLG%,.671,2,3
BB,9,2,3
HBP,4,2,3
SO,28,2,3
GDP,0,2,3
OB%,.381,2,3
SF,1,2,3
SH,0,2,3
S,1,2,3
SB,1,2,3
AVG,.265,31,3
OPS,.642,31,3
AB,49,31,3
R,5,31,3
H,13,31,3
2B,1,31,3
3B,1,31,3
HR,0,31,3
RBI,7,31,3
TB,16,31,3
SLG%,.327,31,3
BB,2,31,3
HBP,2,31,3
SO,16,31,3
GDP,2,31,3
OB%,.315,31,3
SF,1,31,3
SH,0,31,3
S,2,31,3
SB,3,31,3
AVG,.189,10,3
OPS,.709,10,3
AB,53,10,3
R,8,10,3
H,10,10,3
2B,2,10,3
3B,0,10,3
HR,3,10,3
RBI,11,10,3
TB,21,10,3
SLG%,.396,10,3
BB,6,10,3
HBP,4,10,3
SO,22,10,3
GDP,0,10,3
OB%,.313,10,3
SF,1,10,3
SH,0,10,3
S,0,10,3
SB,0,10,3
AVG,.188,1,3
OPS,.553,1,3
AB,64,1,3
R,13,1,3
H,12,1,3
2B,2,1,3
3B,1,1,3
HR,0,1,3
RBI,4,1,3
TB,16,1,3
SLG%,.250,1,3
BB,9,1,3
HBP,2,1,3
SO,14,1,3
GDP,3,1,3
OB%,.303,1,3
SF,1,1,3
SH,1,1,3
S,1,1,3
SB,3,1,3
AVG,.375,5,3
OPS,1.179,5,3
AB,24,5,3
R,7,5,3
H,9,5,3
2B,3,5,3
3B,0,5,3
HR,2,5,3
RBI,10,5,3
TB,18,5,3
SLG%,.750,5,3
BB,1,5,3
HBP,2,5,3
SO,8,5,3
GDP,0,5,3
OB%,.429,5,3
SF,1,5,3
SH,0,5,3
S,1,5,3
SB,2,5,3
AVG,.333,25,3
OPS,.807,25,3
AB,15,25,3
R,2,25,3
H,5,25,3
2B,0,25,3
3B,0,25,3
HR,0,25,3
RBI,3,25,3
TB,5,25,3
SLG%,.333,25,3
BB,2,25,3
HBP,2,25,3
SO,4,25,3
GDP,0,25,3
OB%,.474,25,3
SF,0,25,3
SH,0,25,3
S,1,25,3
SB,1,25,3
AVG,.308,30,3
OPS,.770,30,3
AB,13,30,3
R,3,30,3
H,4,30,3
2B,2,30,3
3B,0,30,3
HR,0,30,3
RBI,1,30,3
TB,6,30,3
SLG%,.462,30,3
BB,0,30,3
HBP,0,30,3
SO,5,30,3
GDP,0,30,3
OB%,.308,30,3
SF,0,30,3
SH,0,30,3
S,0,30,3
SB,0,30,3
AVG,.174,3,3
OPS,.644,3,3
AB,23,3,3
R,3,3,3
H,4,3,3
2B,1,3,3
3B,0,3,3
HR,1,3,3
RBI,1,3,3
TB,8,3,3
SLG%,.348,3,3
BB,2,3,3
HBP,2,3,3
SO,6,3,3
GDP,0,3,3
OB%,.296,3,3
SF,0,3,3
SH,0,3,3
S,0,3,3
SB,0,3,3
AVG,.143,19,3
OPS,.821,19,3
AB,7,19,3
R,2,19,3
H,1,19,3
2B,0,19,3
3B,0,19,3
HR,1,19,3
RBI,4,19,3
TB,4,19,3
SLG%,.571,19,3
BB,1,19,3
HBP,0,19,3
SO,1,19,3
GDP,0,19,3
OB%,.250,19,3
SF,0,19,3
SH,0,19,3
S,0,19,3
SB,0,19,3
AVG,.138,9,3
OPS,.493,9,3
AB,29,9,3
R,5,9,3
H,4,9,3
2B,2,9,3
3B,0,9,3
HR,0,9,3
RBI,3,9,3
TB,6,9,3
SLG%,.207,9,3
BB,6,9,3
HBP,0,9,3
SO,14,9,3
GDP,0,9,3
OB%,.286,9,3
SF,0,9,3
SH,1,9,3
S,0,9,3
SB,0,9,3
AVG,.136,26,3
OPS,.542,26,3
AB,22,26,3
R,2,26,3
H,3,26,3
2B,0,26,3
3B,0,26,3
HR,1,26,3
RBI,1,26,3
TB,6,26,3
SLG%,.273,26,3
BB,4,26,3
HBP,0,26,3
SO,14,26,3
GDP,0,26,3
OB%,.269,26,3
SF,0,26,3
SH,0,26,3
S,1,26,3
SB,1,26,3
AVG,.040,23,3
OPS,.183,23,3
AB,25,23,3
R,1,23,3
H,1,23,3
2B,0,23,3
3B,0,23,3
HR,0,23,3
RBI,1,23,3
TB,1,23,3
SLG%,.040,23,3
BB,3,23,3
HBP,0,23,3
SO,11,23,3
GDP,0,23,3
OB%,.143,23,3
SF,0,23,3
SH,0,23,3
S,0,23,3
SB,0,23,3
AVG,.000,32,3
OPS,1.000,32,3
AB,0,32,3
R,0,32,3
H,0,32,3
2B,0,32,3
3B,0,32,3
HR,0,32,3
RBI,0,32,3
TB,0,32,3
SLG%,.000,32,3
BB,1,32,3
HBP,0,32,3
SO,0,32,3
GDP,0,32,3
OB%,1.000,32,3
SF,0,32,3
SH,0,32,3
S,0,32,3
SB,0,32,3
