opponent,date_time,site,home_score,away_score,bTenOpp,w_L,box_score_link,teamID
Wake Forest,2019-05-24 19:30:00,Away,2,1,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14034&path=msoc,4
North Carolina,2019-05-26 19:30:00,Away,0,1,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14035&path=msoc,4
Dartmouth,2019-05-31 20:00:00,Home,3,0,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14036&path=msoc,4
UConn,2019-06-02 20:00:00,Home,1,0,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14037&path=msoc,4
VCU,2019-06-07 20:00:00,Home,5,0,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14038&path=msoc,4
Notre Dame,2019-06-11 19:00:00,Away,1,2,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14039&path=msoc,4
Wisconsin,2019-06-16 16:00:00,Away,1,3,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14040&path=msoc,4
Evansville,2019-06-21 19:00:00,Away,0,5,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14041&path=msoc,4
Northwestern,2019-06-26 19:00:00,Home,2,1,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14042&path=msoc,4
Penn State,2019-06-30 13:00:00,Home,2,0,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14043&path=msoc,4
Kentucky,2019-07-03 19:00:00,Away,3,0,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14044&path=msoc,4
Michigan,2019-07-07 15:00:00,Away,0,1,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14045&path=msoc,4
Maryland,2019-07-12 19:30:00,Home,2,1,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14046&path=msoc,4
Butler,2019-07-16 20:00:00,Home,3,0,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14047&path=msoc,4
Rutgers,2019-07-19 19:00:00,Away,0,1,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14048&path=msoc,4
Ohio State,2019-07-24 19:00:00,Away,0,1,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14049&path=msoc,4
Michigan State,2019-07-28 16:00:00,Home,1,0,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14050&path=msoc,4
Northwestern - B1G Quarterfinals,2019-02-04 14:00:00,Home,2,1,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14051&path=msoc,4
Maryland - B1G Semifinals,2019-02-09 13:00:00,Neutral,1,1,Big Ten,W (4-3)PK,https://iuhoosiers.com/boxscore.aspx?id=14052&path=msoc,4
Michigan - B1G Championship,2019-02-11 12:00:00,Neutral,3,0,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14053&path=msoc,4
UConn - Second Round,2019-02-18 12:00:00,Home,4,0,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14364&path=msoc,4
Air Force - Third Round,2019-02-25 12:00:00,Home,2,0,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14365&path=msoc,4
Notre Dame - Quarterfinals,2019-02-30 19:00:00,Home,1,0,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14366&path=msoc,4
Maryland - National Semifinal,2019-03-07 22:30:00,Neutral,0,2,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14054&path=msoc,4
