opponent,date_time,site,home_score,away_score,bTenOpp,w_L,box_score_link,teamID
Southern Indiana (Exhibition),2018-11-01 19:00:00,Home,96,62,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14319&path=mbball,1
Chicago State,2018-11-06 18:30:00,Home,104,55,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14287&path=mbball,1
Montana State,2018-11-09 20:00:00,Home,80,35,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14296&path=mbball,1
Marquette,2018-11-14 20:30:00,Home,96,73,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14288&path=mbball,1
Arkansas,2018-11-18 15:30:00,Away,72,73,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14289&path=mbball,1
UT Arlington,2018-11-20 19:00:00,Home,78,64,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14290&path=mbball,1
UC Davis,2018-11-23 19:00:00,Home,76,62,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14297&path=mbball,1
Duke,2018-11-27 21:30:00,Away,69,90,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14291&path=mbball,1
Northwestern,2018-12-01 13:00:00,Home,68,66,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14312&path=mbball,1
Penn State,2018-12-04 19:00:00,Away,64,62,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14303&path=mbball,1
Louisville,2018-12-08 14:30:00,Home,68,67,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14292&path=mbball,1
Butler,2018-12-15 15:45:00,Neutral,71,68,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14293&path=mbball,1
Central Arkansas,2018-12-19 19:00:00,Home,86,53,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14294&path=mbball,1
Jacksonville,2018-12-22 18:00:00,Home,94,64,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14295&path=mbball,1
Illinois,2019-01-03 19:00:00,Home,73,65,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14304&path=mbball,1
Michigan,2019-01-06 16:30:00,Away,63,74,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14311&path=mbball,1
Maryland,2019-01-11 19:00:00,Away,75,78,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14301&path=mbball,1
Nebraska,2019-01-14 18:30:00,Home,51,66,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14298&path=mbball,1
Purdue ,2019-01-19 14:00:00,Away,55,70,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14315&path=mbball,1
Northwestern,2019-01-22 21:00:00,Away,66,73,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14313&path=mbball,1
Michigan,2019-01-25 18:30:00,Home,46,69,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14310&path=mbball,1
Rutgers,2019-01-30 19:00:00,Away,58,66,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14317&path=mbball,1
Michigan State,2019-02-02 18:00:00,Away,79,75,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14309&path=mbball,1
Iowa,2019-02-07 21:00:00,Home,72,77,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14306&path=mbball,1
Ohio State,2019-02-10 13:00:00,Home,52,55,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14299&path=mbball,1
Minnesota,2019-02-16 14:00:00,Away,63,84,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14302&path=mbball,1
Purdue,2019-02-19 19:00:00,Home,46,48,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14314&path=mbball,1
Iowa,2019-02-22 21:00:00,Away,70,76,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14307&path=mbball,1
Wisconsin,2019-02-26 21:00:00,Home,75,73,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14300&path=mbball,1
Michigan State,2019-03-02 12:00:00,Home,63,62,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14308&path=mbball,1
Illinois,2019-03-07 20:00:00,Away,,,Big Ten,, ,1
Rutgers,2019-03-10 12:00:00,Home,,,Big Ten,, ,1
