fname,lname,stat_type,stat_number
Romeo,Langford,GP,28
Romeo,Langford,GS,28
Romeo,Langford,MIN,947
Romeo,Langford,MIN/G,33.8
Romeo,Langford,FGM,160
Romeo,Langford,FGA,349
Romeo,Langford,FG%,.458
Romeo,Langford,3PT,30
Romeo,Langford,3PTA,110
Romeo,Langford,3PT%,.273
Romeo,Langford,FT,130
Romeo,Langford,FTA,179
Romeo,Langford,FT%,.726
Romeo,Langford,PTS,480
Romeo,Langford,AVG,17.1
Romeo,Langford,OFF REB,36
Romeo,Langford,DEF REB,114
Romeo,Langford,REB,150
Romeo,Langford,REB/G,5.4
Romeo,Langford,PF,54
Romeo,Langford,AST,65
Romeo,Langford,TO,62
Romeo,Langford,STL,21
Romeo,Langford,BLK,24
Juwan,Morgan,GP,28
Juwan,Morgan,GS,28
Juwan,Morgan,MIN,825
Juwan,Morgan,MIN/G,29.5
Juwan,Morgan,FGM,166
Juwan,Morgan,FGA,305
Juwan,Morgan,FG%,.544
Juwan,Morgan,3PT,23
Juwan,Morgan,3PTA,76
Juwan,Morgan,3PT%,.303
Juwan,Morgan,FT,61
Juwan,Morgan,FTA,99
Juwan,Morgan,FT%,.616
Juwan,Morgan,PTS,416
Juwan,Morgan,AVG,14.9
Juwan,Morgan,OFF REB,72
Juwan,Morgan,DEF REB,160
Juwan,Morgan,REB,232
Juwan,Morgan,REB/G,8.3
Juwan,Morgan,PF,76
Juwan,Morgan,AST,57
Juwan,Morgan,TO,56
Juwan,Morgan,STL,33
Juwan,Morgan,BLK,47
Justin,Smith,GP,28
Justin,Smith,GS,25
Justin,Smith,MIN,699
Justin,Smith,MIN/G,25.0
Justin,Smith,FGM,95
Justin,Smith,FGA,188
Justin,Smith,FG%,.505
Justin,Smith,3PT,4
Justin,Smith,3PTA,20
Justin,Smith,3PT%,.200
Justin,Smith,FT,31
Justin,Smith,FTA,58
Justin,Smith,FT%,.534
Justin,Smith,PTS,225
Justin,Smith,AVG,8.0
Justin,Smith,OFF REB,46
Justin,Smith,DEF REB,78
Justin,Smith,REB,124
Justin,Smith,REB/G,4.4
Justin,Smith,PF,72
Justin,Smith,AST,20
Justin,Smith,TO,57
Justin,Smith,STL,17
Justin,Smith,BLK,13
Aljami,Durham,GP,27
Aljami,Durham,GS,23
Aljami,Durham,MIN,763
Aljami,Durham,MIN/G,28.3
Aljami,Durham,FGM,71
Aljami,Durham,FGA,169
Aljami,Durham,FG%,.420
Aljami,Durham,3PT,31
Aljami,Durham,3PTA,81
Aljami,Durham,3PT%,.383
