opponent,date_time,site,home_score,away_score,bTenOpp,w_L,box_score_link,teamID
Memphis,2019-02-16 13:00:00,Away,1,6,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14723&path=baseball,3
Memphis,2019-02-16 16:30:00,Away,6,3,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14498&path=baseball,3
Memphis,2019-02-17 14:00:00,Away,0,6,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14499&path=baseball,3
Tennessee,2019-02-22 16:30:00,Away,5,1,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14500&path=baseball,3
Tennessee,2019-02-23 14:00:00,Away,11,0,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14501&path=baseball,3
Tennessee,2019-02-24 13:00:00,Away,5,3,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14502&path=baseball,3
Cincinnati,2019-02-26 15:00:00,Home,7,1,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14706&path=baseball,3
Butler ,2019-02-27 15:00:00,Home,9,3,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14503&path=baseball,3
Northeastern ,2019-03-02 10:00:00,Neutral,6,4,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14504&path=baseball,3
UConn,2019-03-02 13:05:00,Neutral,9,6,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14505&path=baseball,3
Coastal Carolina ,2019-03-03 12:00:00,Away,6,5,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14506&path=baseball,3
Washington,2019-03-08 22:00:00,Neutral,1,0,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14508&path=baseball,3
Oregon State ,2019-03-09 18:00:00,Neutral,3,8,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14509&path=baseball,3
San Diego,2019-03-10 14:00:00,Neutral,3,5,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14510&path=baseball,3
Cincinnati,2019-03-13 16:00:00,Away,7,5,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14511&path=baseball,3
Canisius,2019-03-15 16:00:00,Home,18,6,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14512&path=baseball,3
Canisius,2019-03-16 12:05:00,Home,5,2,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14513&path=baseball,3
Canisius ,2019-03-16 15:15:00,Home,16,5,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14728&path=baseball,3
Canisius,2019-03-17 12:05:00,Home,12,1,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14514&path=baseball,3
Indiana State,2019-03-19 16:00:00,Away,14,15,Non-Conference,W,https://iuhoosiers.com/boxscore.aspx?id=14515&path=baseball,3
Iowa,2019-03-22 18:05:00,Home,3,2,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14516&path=baseball,3
Iowa,2019-03-23 14:05:00,Home,13,1,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14517&path=baseball,3
Iowa,2019-03-24 14:05:00,Home,7,1,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14518&path=baseball,3
Kent State,2019-03-27 17:05:00,Home,8,9,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14519&path=baseball,3
Maryland,2019-03-29 18:30:00,Away,2,0,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14520&path=baseball,3
Maryland,2019-03-30 14:00:00,Away,5,20,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14521&path=baseball,3
Maryland,2019-03-31 13:00:00,Away,4,19,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14522&path=baseball,3
Wright State ,2019-04-03 16:05:00,Home,4,15,Non-Conference,L,https://iuhoosiers.com/boxscore.aspx?id=14725&path=baseball,3
Penn State,2019-04-05 18:05:00,Home,0,3,Big Ten,L,https://iuhoosiers.com/boxscore.aspx?id=14524&path=baseball,3
Penn State,2019-04-06 14:05:00,Home,5,3,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14525&path=baseball,3
Penn State,2019-04-06 14:05:00,Home,3,2,Big Ten,W,https://iuhoosiers.com/boxscore.aspx?id=14526&path=baseball,3
Purdue,2019-04-10 19:05:00,Home,,,Big Ten,, ,3
Evansville,2019-04-12 19:00:00,Away,,,Non-Conference,, ,3
Evansville,2019-04-13 14:05:00,Home,,,Non-Conference,, ,3
Evansville,2019-04-14 13:05:00,Home,,,Non-Conference,, ,3
Ball State,2019-04-16 18:05:00,Home,,,Non-Conference,, ,3
Michigan State,2019-04-19 18:35:00,Away,,,Big Ten,, ,3
Michigan State,2019-04-20 16:05:00,Away,,,Big Ten,, ,3
Michigan State,2019-04-21 13:05:00,Away,,,Big Ten,, ,3
Minnesota,2019-04-26 18:05:00,Home,,,Big Ten,, ,3
Minnesota,2019-04-27 14:05:00,Home,,,Big Ten,, ,3
Minnesota,2019-04-28 12:05:00,Home,,,Big Ten,, ,3
