fname,lname,number,position,year,height,weight,hometown,highschool,image_path,teamID
JUWAN,BURGESS,1,DB,R-Fr.,"6'1""",191 lbs,"Tampa, Fla.",Plant,https://iuhoosiers.com/images/2018/8/8/Burgess_Juwan.jpg?width=80,2
REESE,TAYLOR,2,ATH,Fr.,"5'11""",184 lbs,"Indianapolis, Ind.",Ben Davis,https://iuhoosiers.com/images/2018/7/23/Taylor_Reese.jpg?width=80,2
TY,FRYFOGLE,3,WR,So.,"6'2""",212 lbs,"Lucedale, Miss.",George County,https://iuhoosiers.com/images/2018/8/15/Fryfogle_Ty.jpg?width=80,2
J-SHUN,HARRIS,5,WR,R-Sr.,"5'8""",172 lbs,"Fishers, Ind.",Fishers,https://iuhoosiers.com/images/2018/8/10/Harris_J_Shun.jpg?width=80,2
DONAVAN,HALE,6,WR,R-Jr.,"6'4""",229 lbs,"Largo, Fla.",Largo,https://iuhoosiers.com/images/2018/8/10/Hale_Donavan.jpg?width=80,2
JAMES,HEADJR.,6,DL,Fr.,"6'5""",248 lbs,"Miami, Fla.",Southridge,https://iuhoosiers.com/images/2018/1/17/Head_James_70.jpg?width=80,2
MIKE,FIACABLE,7,QB,R-Jr.,"6'1""",208 lbs,"Fort Wayne, Ind.",Bishop Dwenger,https://iuhoosiers.com/images/2017/7/21/Fiacable_Mike_1.jpg?width=80,2
REAKWON,JONES,7,LB,R-Jr.,"6'2""",235 lbs,"Lynn Haven, Fla.",A. Crawford Mosley,https://iuhoosiers.com/images/2018/8/10/Jones_Reakwon.jpg?width=80,2
JAMES,MILLER,8,LB,Fr.,"6'2""",231 lbs,"Brandon, Fla.",Armwood,https://iuhoosiers.com/images/2018/7/23/Miller_James.jpg?width=80,2
JOHNNY,PABST,8,QB,R-Fr.,"6'1""",211 lbs,"Lincolnwood, Ill.",Niles West,https://iuhoosiers.com/images/2017/10/9/20171004_FB_Headshot_JohnnyPabst.JPG?width=80,2
JONATHAN,CRAWFORD,9,DB,Sr.,"6'2""",196 lbs,"Largo, Fla.",Largo,https://iuhoosiers.com/images/2018/8/9/Crawford_Jonathan.jpg?width=80,2
MICHAEL,PENIXJR.,9,QB,Fr.,"6'3""",206 lbs,"Tampa, Fla.",Tampa Bay Tech,https://iuhoosiers.com/images/2018/8/15/Penix_Michael.jpg?width=80,2
KRISTIAN,PECHAC,10,RB,Fr.,"5'11""",210 lbs,"Bloomington, Ind.",Bloomington South,https://iuhoosiers.com/images/2018/8/2/Pechac_Kristian.jpg?width=80,2
PEYTON,RAMSEY,12,QB,R-So.,"6'2""",210 lbs,"Cincinnati, Ohio",Elder,https://iuhoosiers.com/images/2018/8/9/Ramsey_Peyton.jpg?width=80,2
ISAAC,JAMES,13,DB,R-Jr.,"5'11""",197 lbs,"Carmel, Ind.",Carmel,https://iuhoosiers.com/images/2018/8/15/James_Isaac.jpg?width=80,2
ANDRE,BROWNJR.,14,DB,R-Jr.,"6'0""",200 lbs,"Decatur, Ga.",Columbia,https://iuhoosiers.com/images/2018/8/7/Brown_Andre_6.jpg?width=80,2
NICK,WESTBROOK,15,WR,R-Jr.,"6'3""",215 lbs,"Lake Mary, Fla.",Lake Mary,https://iuhoosiers.com/images/2018/8/9/Westbrook_Nick.jpg?width=80,2
JAMAR,JOHNSON,16,DB,Fr.,"6'1""",200 lbs,"Sarasota, Fla.",Riverview,https://iuhoosiers.com/images/2018/7/22/Johnson_Jamar_89.jpg?width=80,2
JUSTIN,BERRY,17,WR,R-So.,"6'0""",202 lbs,"Charleston, S.C.",West Ashley,https://iuhoosiers.com/images/2018/8/7/Berry_Justin_19.jpg?width=80,2
RAHEEM,LAYNE,17,DB,So.,"6'1""",195 lbs,"Deland, Fla.",Sebastian River,https://iuhoosiers.com/images/2018/8/13/Layne_Raheem.jpg?width=80,2
JONATHAN,KING,18,DL,Fr.,"6'3""",270 lbs,"Tampa, Fla.",Tampa Bay Tech,https://iuhoosiers.com/images/2018/7/22/King_Jonathan.jpeg?width=80,2
NOAH,PIERRE,19,DB,Fr.,"5'11""",173 lbs,"Hialeah, Fla.",Champagnat Catholic,https://iuhoosiers.com/images/2018/7/23/Pierre_Noah.jpg?width=80,2
LUKE,SHAYOTOVICH,19,WR,Fr.,"5'8""",171 lbs,"Avon, Ind.",Avon,https://iuhoosiers.com/images/2018/8/2/Shayotovich_Luke.jpg?width=80,2
