fname,lname,number,position,year,height,weight,hometown,highschool,image_path,teamID
Romeo,Langford,0,Guard,Fr.,"6'6""",215 lbs,"New Albany, Ind.",New Albany,https://iuhoosiers.com/images/2018/8/15/Web_Langford.jpg?width=80,1
Aljami,Durham,1,Guard,So.,"6'4""",181 lbs,"Lilburn, Ga.",Berkmar,https://iuhoosiers.com/images/2018/8/15/Web_Durham.jpg?width=80,1
Johnny,Jager,2,Guard,R-Jr.,"6'0""",185 lbs,"Bloomington, Ind.",Bloomington South,https://iuhoosiers.com/images/2018/8/15/Web_Jager.jpg?width=80,1
Justin,Smith,3,Forward,So.,"6'7""",227 lbs,"Buffalo Grove, Ill.",Adlai Stevenson,https://iuhoosiers.com/images/2018/8/15/Web_Smith.jpg?width=80,1
Jake,Forrester,4,Forward,Fr.,"6'8""",218 lbs,"Harrisburg, Pa.",Westtown School,https://iuhoosiers.com/images/2018/8/15/Web_Forrester.jpg?width=80,1
Quentin,Taylor,5,Guard,Sr.,"6'2""",185 lbs,"Indianapolis, Ind.",Brebeuf,https://iuhoosiers.com/images/2018/8/15/Web_Taylor.jpg?width=80,1
Rob,Phinisee,10,Guard,Fr.,"6'1""",182 lbs,"Lafayette, Ind.",McCutcheon,https://iuhoosiers.com/images/2018/8/15/Web_Phinisee.jpg?width=80,1
Devonte,Green,11,Guard,Jr.,"6'3""",185 lbs,"North Babylon, N.Y.",Long Island Lutheran,https://iuhoosiers.com/images/2018/8/15/Web_Green.jpg?width=80,1
Juwan,Morgan,13,Forward,Sr.,"6'8""",232 lbs,"Waynesville, Mo.",Waynesville,https://iuhoosiers.com/images/2018/8/15/Web_Morgan.jpg?width=80,1
Zach,McRoberts,15,Guard,R-Sr.,"6'6""",210 lbs,"Carmel, Ind.",Carmel,https://iuhoosiers.com/images/2018/8/15/Web_McRoberts.jpg?width=80,1
De'Ron,Davis,20,Forward,Jr.,"6'10""",255 lbs,"Park Hill, Colo.",Overland,https://iuhoosiers.com/images/2018/8/15/Web_Davis.jpg?width=80,1
Jerome,Hunter,21,Forward,Fr.,"6'7""",214 lbs,"Pickerington, Ohio",Pickerington North,https://iuhoosiers.com/images/2018/8/15/Web_Hunter.jpg?width=80,1
Clifton,Moore,22,Forward,So.,"6'10""",230 lbs,"Ambler, Pa.",Hatboro-Horsham,https://iuhoosiers.com/images/2018/8/15/Web_Moore.jpg?width=80,1
Damezi,Anderson,23,Forward,Fr.,"6'7""",215 lbs,"South Bend, Ind.",Riley,https://iuhoosiers.com/images/2018/8/15/Web_Anderson.jpg?width=80,1
Vijay,Blackmon,24,Guard,R-So.,"6'2""",185 lbs,"Marion, Ind.",Marion,https://iuhoosiers.com/images/2018/8/15/Web_Blackmon_71.jpg?width=80,1
Race,Thompson,25,Forward,R-Fr.,"6'8""",228 lbs,"Plymouth, Minn.",Armstrong,https://iuhoosiers.com/images/2018/8/15/Web_Thompson.jpg?width=80,1
Evan,Fitzner,55,Forward,R-Sr.,"6'10""",225 lbs,"San Diego, Calif.",Francis Parker,https://iuhoosiers.com/images/2018/8/15/Web_Fitzner.jpg?width=80,1
